Index	TargetFieldName	TargetFieldType	Required	AllowEmpty	MaxLength
0	TimeStamp	System.DateTime	TRUE		
1	BINNumber	System.String	TRUE	FALSE	6
2	ProcessorControlNo	System.String	FALSE		10
3	NationalProviderID	System.String	TRUE	TRUE	15
4	ServiceProviderID	System.String	FALSE		15
5	ServiceProviderIDQual	System.String	FALSE		2
6	TransactionCode	System.String	FALSE		2
7	DateOfService	System.DateTime	FALSE		
8	PatientFirstName	System.String	FALSE		100
9	PatientLastName	System.String	FALSE		100
10	PatientDOB	System.DateTime	FALSE		
11	PatientGender	System.String	FALSE		1
12	OtherCoverageCode	System.String	FALSE		2
13	PatientStreetAddress	System.String	FALSE		100
14	PatientCityAddress	System.String	FALSE		100
15	PatientState	System.String	FALSE		2
16	PatientZip	System.String	FALSE		15
17	PrescriptionRefNo	System.String	TRUE	TRUE	12
18	FillNo	System.String	FALSE		2
19	ProductServiceIDQual	System.String	FALSE		2
20	ProductServiceID	System.String	FALSE		19
21	PrescriberIDQual	System.String	FALSE		2
22	PrescriberID	System.String	FALSE		15
23	IngredientCostSubmitted	System.Double	FALSE		
24	GrossAmountDue	System.Double	FALSE		
25	UnitOfMeasure	System.String	FALSE		2
26	QuantityDispensed	System.Double	FALSE		
27	TransactionResponseStatus	System.String	FALSE		1
28	TotalAmountPaid	System.Double	FALSE		
29	IngredientCostPaid	System.Double	FALSE		
30	PatientPayAmount	System.Double	FALSE		
31	IncentiveAmountPaid	System.Double	FALSE		
32	DispensingFeePaid	System.Double	FALSE		
33	FlatSalesTaxAmountPaid	System.Double	FALSE		
34	PercentageSalesTaxAmountPaid	System.Double	FALSE		
35	OtherAmountPaid	System.Double	FALSE		
36	AmountOfCopayCoinsurance	System.Double	FALSE		
37	AmtAttToProdSelection	System.Double	FALSE		
38	AuthorizationNo	System.String	FALSE		100
39	CardholderID	System.String	FALSE		20
40	GroupNo	System.String	FALSE		15
41	CompoundCode	System.String	FALSE		1
42	DaysSupply	System.Double	FALSE		
43	FacilityCode	System.String	FALSE		10
44	CoordinationOfBenefits	System.String	FALSE		2
45	DateRxWritten	System.DateTime	FALSE		
46	PrescriptionOriginCode	System.String	FALSE		1
47	PrescriberAddress	System.String	FALSE		100
48	SubmissionClarificationCode	System.String	FALSE		10
49	CostDetermination	System.String	FALSE		10
50	UsualAndCustomaryCharge	System.Double	FALSE		
